,input,output,class
0,something for a new cooking hobby," ['KitchenAid Stand Mixer', 'All-Clad Stainless Steel 10-Piece Cookware Set', 'Instant Pot Pressure Cooker', 'Keurig K-Mini Plus Coffee Maker', 'Anolon Advanced Hard-An",output: positive
1,need something cozy for a winter evening at home," ['Faux Fur Blanket', 'Plush Throw Blanket', 'Wool Blanket', 'Slippers', 'Candle']",output: positive
2,something for grilling fish," ['Grill Pan', 'Fish Grill Mat', 'Fish Skewers', 'Fish Tray', 'BBQ Gloves']",output: positive
3,something for making homemade candy," ['Candy Making Kit', 'Chocolate Melter', 'Candy Thermometer', 'Flavor Extracts', 'Candy Mold']",positive
4,something for making homemade pad thai," ['Rice Noodles', 'Tamarind Paste', 'Peanut Butter', 'Coconut Milk', 'Lime Juice']",positive
5,something for making pancakes," ['Pan', 'Spatula', 'Measuring Cups', 'Baking Powder', 'Syrup Bottle']",output: positive
6,something for an organized workspace," ['Desk Organizer', 'Task Light', 'Whiteboard', 'Paperweight', 'Inbox Organizer']",output: positive
7,something for a refreshing morning routine," ['Green Tea Bags', 'Aloe Vera Gel', 'Lemon Squeezer', 'Aromatherapy Essential Oil', 'Morning Sunrise Simulation Lamp']",output: positive
8,something for a backyard party," ['Patio Furniture Set', 'Outdoor Speakers', 'Garden Umbrella', 'Outdoor Heaters', 'Barbecue Grill']",output: positive
9,something for an outdoor picnic," ['Portable Blanket and Pillow', 'Folding Table and Chairs', 'Waterproof Blanket', 'Cooler Bag', 'Outdoor Throw Pillows']",output: positive
10,something for a focused study session," ['Comfortable Chair', 'Laptop Stand', 'Noise-Cancelling Headphones', 'Whiteboard and Markers', 'Focused Study Light']",output: positive
11,something for a cozy night in," ['Faux Fur Blanket', 'Scented Candle', 'Wine Glasses', 'Comfortable Pajamas', 'Popcorn Maker']",output: positive
12,something for making homemade rice dishes," ['Rice Cooker', 'Measuring Cups and Spoons', 'Mixing Bowl', 'Vegetable Peeler', 'Kitchen Shears']",output: positive
13,something for a virtual workout," ['Exercise Bike', 'Treadmill', 'Yoga Mat', 'Resistance Bands', 'Fitness App']",positive
14,something for making homemade pizza," ['Pizza Stone','Pizza Peel','Pizza Cutter','Pizza Wheel','Cheese Grater']",positive
15,something for grilling vegetables," ['Grill Pan', 'Vegetable Peeler', 'Skewers', 'BBQ Gloves', 'Meat Tenderizer']",output: positive
16,something for making homemade chili," ['Canned Tomatoes', 'Ground Beef', 'Onions', 'Chili Powder', 'Jalapenos']",output: positive
17,something for a productive remote work setup," ['Ergonomic Chair', 'Luxury Desk Pad', 'Noise Canceling Headphones', 'Wireless Mouse', 'Productivity App']",positive
18,something for making homemade paella," ['Paella Pan', 'Rice Cooker', 'Saffron', 'Chorizo', 'Arroz']",output: positive
19,looking for a tech gadget to track fitness activities," ['Fitbit Charge 3', 'Apple Watch Series 5', 'Garmin Forerunner 945', 'Polar M430', 'Samsung Galaxy Fit']",output: positive
20,something for a focused workday," ['Laptop Bag and Backpack', 'Portable Power Bank', 'Noise Cancelling Headphones', 'Ergonomic Office Chair', 'Productivity Planner']",output: positive
21,something for making homemade yogurt," ['Yogurt Maker Machine', 'Glass Yogurt Jar', 'Yogurt Spoon', 'Cultures for Homemade Yogurt', 'Cheesecloth']",output: positive
22,something for making homemade satay," ['Satay Sauce Mix', 'Peanut Oil', 'Skewers', 'Bamboo Rack', 'Satay Holders']",positive
23,something for a game night with friends," ['Board Game Collection','Card Game Set','Miniature Game Pieces','Game Night Light Kit','Game Night Tray']",output: positive
24,something for making homemade vegetable broth," ['Instant Pot Pressure Cooker', 'Vegetable Peeler', 'Immersion Blender', 'Mason Jars with Lids', 'Bonus: Vegetable Broth Cookbook']",output: positive
25,something for painting walls," ['Paint Rollers and Trays', 'Painter's Tape', 'Drop Cloth', 'Paint Brushes', 'Primer Spray']",output: positive
26,something for outdoor camping," ['Tent','Sleeping Bag','Camping Stove','Water Bottle','Hiking Boots']",output: positive
27,something for a green smoothie lover," ['Blender', 'Nut Milcher', 'Green Smoothie Recipe Book', 'Froothie', 'Oral B Blender']","output: 
relevant: 'blender', 'nut milcher', 'green smoothie recipe book'
irrelevant: 'froothie', 'oral b blender'"
